gene	Sample_ID	compendium_version	rollup_cohort
RP11-451G4.2	TH34_1240_S01	v7	pandisease
PDIA2	TH34_1240_S01	v7	pandisease
ACTC1	TH34_1240_S01	v7	pandisease
RPLP1	TH34_1240_S01	v7	pandisease
SNHG19	TH34_1240_S01	v7	pandisease
NEB	TH34_1240_S01	v7	pandisease
ARMC6	TH34_1240_S01	v7	pandisease
ATP6V1F	TH34_1240_S01	v7	pandisease
FABP3	TH34_1240_S01	v7	pandisease
ADSL	TH34_1240_S01	v7	pandisease
KRT8	TH34_1240_S01	v7	pandisease
ATP5D	TH34_1240_S01	v7	pandisease
MYH2	TH34_1240_S01	v7	pandisease
MYH7	TH34_1240_S01	v7	pandisease
RP11-603J24.17	TH34_1240_S01	v7	pandisease
RNU1-28P	TH34_1240_S01	v7	pandisease
RNVU1-18	TH34_1240_S01	v7	pandisease
MROH2A	TH34_1240_S01	v7	pandisease
AC005943.6	TH34_1240_S01	v7	pandisease
DPM3	TH34_1240_S01	v7	pandisease
RPS27A	TH34_1240_S01	v7	pandisease
FOXP4-AS1	TH34_1240_S01	v7	pandisease
KIAA0020	TH34_1240_S01	v7	pandisease
RPS28	TH34_1240_S01	v7	pandisease
SRM	TH34_1240_S01	v7	pandisease
RP5-940J5.9	TH34_1240_S01	v7	pandisease
ENO3	TH34_1240_S01	v7	pandisease
GCAT	TH34_1240_S01	v7	pandisease
TCAP	TH34_1240_S01	v7	pandisease
PPAN	TH34_1240_S01	v7	pandisease
RP5-857K21.11	TH34_1240_S01	v7	pandisease
KRTCAP2	TH34_1240_S01	v7	pandisease
RHCG	TH34_1240_S01	v7	pandisease
FAM136A	TH34_1240_S01	v7	pandisease
WDR18	TH34_1240_S01	v7	pandisease
MUSTN1	TH34_1240_S01	v7	pandisease
RPS10	TH34_1240_S01	v7	pandisease
RPS17	TH34_1240_S01	v7	pandisease
RPS15	TH34_1240_S01	v7	pandisease
UQCR11	TH34_1240_S01	v7	pandisease
RP5-857K21.7	TH34_1240_S01	v7	pandisease
PRDX4	TH34_1240_S01	v7	pandisease
AIMP2	TH34_1240_S01	v7	pandisease
MYOT	TH34_1240_S01	v7	pandisease
MRPS17	TH34_1240_S01	v7	pandisease
PFDN2	TH34_1240_S01	v7	pandisease
MYLPF	TH34_1240_S01	v7	pandisease
S100A1	TH34_1240_S01	v7	pandisease
TXNL4A	TH34_1240_S01	v7	pandisease
PUSL1	TH34_1240_S01	v7	pandisease
CD320	TH34_1240_S01	v7	pandisease
CASQ1	TH34_1240_S01	v7	pandisease
ANKRD1	TH34_1240_S01	v7	pandisease
ANKRD2	TH34_1240_S01	v7	pandisease
TATDN1	TH34_1240_S01	v7	pandisease
IMPDH1	TH34_1240_S01	v7	pandisease
